Luxury Bedroom 2	In consequat laborum aliquip non elit deserunt laboris laborum	2022-09-26T09:22:55.955Z	Brussels	preview-02.jpg	photo-04.jpg	false	3	room	7	7	30239	Baby seat,Washer,Towels	Рокки Бальбоа	46	-61.953943;45.499739	rolan@pochta.local	smit.jpg
Perfect TownHouse 1	Incididunt exercitation non proident incididunt eu nisi ullamco ad reprehenderit ad	2022-09-29T09:22:55.957Z	Dusseldorf	preview-02.jpg	photo-04.jpg	false	5	room	3	8	39253	Breakfast,Air conditioning,Laptop friendly workspace,Baby seat,Washer,Towels	Рокки Бальбоа	35	-61.953943;45.499739	president@dka.local	roland.jpg
Perfect TownHouse 1	Aute reprehenderit incididunt nostrud minim occaecat aliqua culpa magna in eiusmod cupidatat ex	2022-09-27T09:22:55.957Z	Amsterdam	preview-03.jpg	photo-02.jpg	true	4	apartment	7	10	39956	Laptop friendly workspace,Baby seat,Washer,Towels	Джек Торренс	67	38.165938;-160.46319	author@mir.local	user.jpg
Luxury Bedroom 2	Aute reprehenderit incididunt nostrud minim occaecat aliqua culpa magna in eiusmod cupidatat ex	2022-09-26T09:22:55.957Z	Dusseldorf	preview-05.jpg	photo-03.jpg	false	2	room	8	3	82816	Towels,Fridge	Холи Гибни	75	-61.953943;45.499739	freedom@pisem.local	awesome-avatar.jpg
Perfect TownHouse 1	Aute reprehenderit incididunt nostrud minim occaecat aliqua culpa magna in eiusmod cupidatat ex	2022-09-27T09:22:55.957Z	Hamburg	preview-01.jpg	photo-02.jpg	false	2	room	4	2	24215	Laptop friendly workspace,Baby seat	Борис Гесер	89	51.810329;-25.004731	test@lost.loca	user.jpg
Luxury Bedroom 3	Elit nisi et ullamco ea aute ex nisi exercitation irure amet	2022-09-29T09:22:55.957Z	Paris	preview-03.jpg	photo-04.jpg	true	5	house	6	3	42659	Washer,Towels,Fridge	Холи Гибни	6	38.165938;-160.46319	test@pisem.local	smit.jpg
Luxury Bedroom 1	Incididunt exercitation non proident incididunt eu nisi ullamco ad reprehenderit ad	2022-09-28T09:22:55.958Z	Paris	preview-04.jpg	photo-02.jpg	false	3	room	2	4	58359	Air conditioning,Laptop friendly workspace,Baby seat,Washer,Towels	Пьер Безухов	21	51.810329;-25.004731	president@dka.local	smit.jpg
Luxury Bedroom 3	Incididunt exercitation non proident incididunt eu nisi ullamco ad reprehenderit ad	2022-10-01T09:22:55.958Z	Cologne	preview-03.jpg	photo-03.jpg	true	4	apartment	7	3	81550	Air conditioning,Laptop friendly workspace,Baby seat,Washer,Towels,Fridge	Джек Торренс	1	-61.953943;45.499739	test@pisem.local	awesome-avatar.jpg
Luxury Bedroom 3	Incididunt exercitation non proident incididunt eu nisi ullamco ad reprehenderit ad	2022-09-27T09:22:55.958Z	Amsterdam	preview-02.jpg	photo-02.jpg	false	4	house	1	4	68126	Air conditioning,Laptop friendly workspace,Baby seat,Washer,Towels,Fridge	Джек Торренс	41	55.529773;-58.455369	test@pisem.local	roland.jpg
Luxury Bedroom 3	Elit nisi et ullamco ea aute ex nisi exercitation irure amet	2022-09-30T09:22:55.958Z	Brussels	preview-04.jpg	photo-02.jpg	false	1	house	4	6	34215	Fridge	Холи Гибни	88	59.12881;5.306484	fish@big.local	photo.jpg
Perfect TownHouse 1	Incididunt exercitation non proident incididunt eu nisi ullamco ad reprehenderit ad	2022-09-28T09:22:55.958Z	Cologne	preview-02.jpg	photo-04.jpg	false	2	house	4	8	30065	Towels,Fridge	Антон Городецкий	79	59.12881;5.306484	test@lost.loca	awesome-avatar.jpg
Perfect TownHouse 2	Aliqua elit laboris irure adipisicing cupidata	2022-09-28T09:22:55.958Z	Hamburg	preview-01.jpg	photo-02.jpg	true	3	hotel	8	4	15547	Laptop friendly workspace,Baby seat,Washer,Towels	Джек Торренс	31	-61.953943;45.499739	president@dka.local	roland.jpg
Perfect TownHouse 1	In consequat laborum aliquip non elit deserunt laboris laborum	2022-09-28T09:22:55.958Z	Amsterdam	preview-02.jpg	photo-03.jpg	true	2	house	3	2	3756	Towels,Fridge	Борис Гесер	26	51.810329;-25.004731	fish@big.local	photo.jpg
Luxury Bedroom 2	Aute reprehenderit incididunt nostrud minim occaecat aliqua culpa magna in eiusmod cupidatat ex	2022-09-29T09:22:55.958Z	Brussels	preview-03.jpg	photo-03.jpg	true	3	house	6	10	64004	Laptop friendly workspace,Baby seat,Washer,Towels	Антон Городецкий	39	-61.953943;45.499739	test@lost.loca	photo.jpg
Luxury Bedroom 3	In consequat laborum aliquip non elit deserunt laboris laborum	2022-09-30T09:22:55.959Z	Paris	preview-01.jpg	photo-03.jpg	true	2	room	1	5	90814	Laptop friendly workspace,Baby seat	Иван Иванов	23	55.529773;-58.455369	rolan@pochta.local	awesome-avatar.jpg
Perfect TownHouse 1	In consequat laborum aliquip non elit deserunt laboris laborum	2022-09-29T09:22:55.959Z	Paris	preview-02.jpg	photo-02.jpg	true	1	house	7	10	47077	Washer,Towels,Fridge	Олег Сидоров	48	51.810329;-25.004731	fish@big.local	roland.jpg
